ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2021-0004,1,2021,1,11,9,CASEROS AV. Y GUARANI,AVENIDA,CASEROS AV.,5,-58.41455544,-34.63866836,PEATON,CARGAS
2021-0005,1,2021,1,11,21,"PERON, EVA AV. 3800",AVENIDA,"PERON, EVA AV.",9,-58.46774439,-34.64730145,PEATON,AUTO
2021-0006,1,2021,1,12,21,AU ILLIA y SARMIENTO AV.,AUTOPISTA,AUTOPISTA ARTURO ILLIA,14,-58.40786274,-34.56726817,MOTO,CARGAS
2021-0007,1,2021,1,18,10,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,DE LOS CONSTITUYENTES AV.,15,-58.48744301,-34.58622275,MOTO,MOTO
2021-0008,1,2021,1,22,23,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,SAENZ AV.,4,-58.41657793,-34.65476216,PEATON,PASAJEROS
2021-0009,1,2021,1,23,5,PAYSANDU Y GAONA,AVENIDA,PAYSANDU,6,-58.45351111,-34.61134937,MOTO,OBJETO FIJO
2021-0010,1,2021,1,23,8,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV. ",GRAL PAZ,"PAZ, GRAL. AV.",12,-58.50073810,-34.54979510,MOTO,AUTO
2021-0011,1,2021,1,27,1,SANTA FE AV. 1675,AVENIDA,SANTA FE AV.,2,-58.39144148,-34.59564871,PEATON,AUTO
2021-0012,1,2021,1,29,20,AU DELLEPIANE Y GUAMINI,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",8,-58.48191128,-34.68385968,PEATON,AUTO
2021-0013,1,2021,1,31,6,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,"FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,MOTO,OBJETO FIJO
2021-0014,1,2021,2,2,0,SAN MARTIN AV. Y NOGOYA,AVENIDA,SAN MARTIN AV.,15,-58.48328708,-34.59779521,PEATON,AUTO
